Exp,Mouse,Project,Cells,MI
38,025',MI,MDA-231,SC
38,026',MI,MDA-231,SC
38,027',MI,MDA-231,SC
38,028',MI,MDA-231,SC
38,079',MI,MDA-231,IV
38,080',MI,MDA-231,IV
38,081',MI,MDA-231,IV
38,082',MI,MDA-231,IV
38,001',MI,MDA-231,IMFP
38,002',MI,MDA-231,IMFP
38,003',MI,MDA-231,IMFP
38,004',MI,MDA-231,IMFP
38,015',MI,MDA-231,IMFPc
38,016',MI,MDA-231,IMFPc
38,017',MI,MDA-231,IMFPc
38,018',MI,MDA-231,IMFPc
1009,019',MI,MDA-231,IMFPc
1009,020',MI,MDA-231,IMFPc
1009,021',MI,MDA-231,IMFPc
1009,022',MI,MDA-231,IMFPc
1009,023',MI,MDA-231,IMFPc
1009,024',MI,MDA-231,IMFPc
1009,005',MI,MDA-231,IMFP
1009,006',MI,MDA-231,IMFP
1009,007',MI,MDA-231,IMFP
1009,008',MI,MDA-231,IMFP
1009,083',MI,MDA-231,IV
1009,084',MI,MDA-231,IV
1009,085',MI,MDA-231,IV
1009,086',MI,MDA-231,IV
1009,029',MI,MDA-231,SC
1009,030',MI,MDA-231,SC
1009,031',MI,MDA-231,SC
1009,032',MI,MDA-231,SC
1009,033',MI,MDA-231,ID
1009,034',MI,MDA-231,ID
1009,035',MI,MDA-231,ID
1009,036',MI,MDA-231,ID
1009,037',MI,MDA-231,ID
72,568',MI,PDX-T412,ID
72,569',MI,PDX-T412,ID
72,074',MI,PDX-T412,ID
72,571',MI,PDX-T412,ID
72,572',MI,PDX-T412,ID
72,573',MI,PDX-T412,ID
72,574',MI,PDX-T412,IV
72,575',MI,PDX-T412,IV
72,576',MI,PDX-T412,IV
72,577',MI,PDX-T412,IV
72,578',MI,PDX-T412,IV
72,579',MI,PDX-T412,IV
72,064',MI,PDX-T412,SC
72,065',MI,PDX-T412,SC
72,066',MI,PDX-T412,SC
72,067',MI,PDX-T412,SC
72,068',MI,PDX-T412,SC
72,044',MI,PDX-T412,IMFP
72,045',MI,PDX-T412,IMFP
72,046',MI,PDX-T412,IMFP
72,047',MI,PDX-T412,IMFP
72,048',MI,PDX-T412,IMFP
72,054',MI,PDX-T412,IMFPc
72,055',MI,PDX-T412,IMFPc
72,056',MI,PDX-T412,IMFPc
72,057',MI,PDX-T412,IMFPc
72,058',MI,PDX-T412,IMFPc
1011,038',MI,MDA-231,ID
1011,039',MI,MDA-231,ID
1011,040',MI,MDA-231,ID
1011,825',MI,MDA-231,ID
1011,041',MI,MDA-231,ID
1011,042',MI,MDA-231,ID
1011,828',MI,MDA-231,ID
1011,043',MI,MDA-231,ID
1011,009',MI,MDA-231,IMFP
1011,010',MI,MDA-231,IMFP
1011,011',MI,MDA-231,IMFP
1011,012',MI,MDA-231,IMFP
1011,013',MI,MDA-231,IMFP
1011,014',MI,MDA-231,IMFP
1011,838',MI,MDA-231,ID
1012,059',MI,PDX-T412,IMFPc
1012,060',MI,PDX-T412,IMFPc
1012,061',MI,PDX-T412,IMFPc
1012,062',MI,PDX-T412,IMFPc
1012,063',MI,PDX-T412,IMFPc
1012,844',MI,PDX-T412,IV
1012,845',MI,PDX-T412,IV
1012,846',MI,PDX-T412,IV
1012,049',MI,PDX-T412,IMFP
1012,050',MI,PDX-T412,IMFP
1012,051',MI,PDX-T412,IMFP
1012,052',MI,PDX-T412,IMFP
1012,053',MI,PDX-T412,IMFP
1012,069',MI,PDX-T412,SC
1012,070',MI,PDX-T412,SC
1012,071',MI,PDX-T412,SC
1012,072',MI,PDX-T412,SC
1012,073',MI,PDX-T412,SC
1012,075',MI,PDX-T412,ID
1012,076',MI,PDX-T412,ID
1012,077',MI,PDX-T412,ID
1012,860',MI,PDX-T412,ID
1012,078',MI,PDX-T412,ID
1012,862',MI,PDX-T412,ID
